
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-02-21;31.344,88;7682155060092;36.659,49;7026128343568;35.351,00;9931999157749;34.696,34;367109547083;64.274,52;1222998964056;31.418,35;12063801737082
2015-02-22;31.344,88;7682155060092;36.659,49;7026128343568;35.351,00;9931999157749;34.696,34;367109547083;64.274,52;1222998964056;31.418,35;12063801737082
2015-02-23;31.296,81;7671288220761;36.606,78;7020624438862;35.296,54;9920510154046;34.644,21;366310544163;64.207,74;1221797555324;31.370,52;12045585893151
2015-02-24;31.395,29;7696441175913;36.724,44;7045466980950;35.410,60;9956042833318;34.759,24;367435331730;64.380,85;1225313839868;31.467,18;12081359221951
2015-02-25;31.460,06;7712771573962;36.789,45;7058613541568;35.467,36;9973480933560;34.816,68;367935443737;64.478,57;1227326708775;31.528,48;12105743308772
2015-02-26;31.397,57;7696725778173;36.719,20;7050302040519;35.408,88;9962458798286;34.743,06;367015654799;64.381,74;1225421173438;31.467,71;12083289030406
2015-02-27;31.373,85;7677017325789;36.696,82;7040322048331;35.388,66;9944993042598;34.713,56;366880413549;64.336,04;1221568469030;31.435,00;12049155907377
2015-02-28;31.373,85;7677017325789;36.696,82;7040322048331;35.388,66;9944993042598;34.713,56;366880413549;64.336,04;1221568469030;31.435,00;12049155907377
2015-03-01;31.373,85;7677017325789;36.696,82;7040322048331;35.388,66;9944993042598;34.713,56;366880413549;64.336,04;1221568469030;31.435,00;12049155907377
2015-03-02;31.411,70;7684929909492;36.736,86;7059921048577;35.431,61;9960188901526;34.766,53;368382708110;64.404,76;1220007086203;31.472,74;12069415473392
2015-03-03;31.392,08;7679771697345;36.715,19;7060384688690;35.408,91;9955005165390;34.740,75;367925996722;64.374,06;1223009175519;31.450,56;12062448113219
2015-03-04;31.377,00;7676175493535;36.695,15;7060831969855;35.393,40;9952404559551;34.745,00;368027942052;64.361,22;1222736546644;31.425,45;12053433508155
2015-03-05;31.362,17;7672000372235;36.679,27;7060360626666;35.368,76;9945525980392;34.715,09;367893579794;64.319,17;1222092101068;31.412,70;12050338502038
2015-03-06;31.338,91;7667450231262;36.657,33;7060543930834;35.341,58;9941886344769;34.685,77;367713411093;64.272,43;1221244378563;31.391,61;12041836861739
2015-03-07;31.338,91;7667450231262;36.657,33;7060543930834;35.341,58;9941886344769;34.685,77;367713411093;64.272,43;1221244378563;31.391,61;12041836861739
2015-03-08;31.338,91;7667450231262;36.657,33;7060543930834;35.341,58;9941886344769;34.685,77;367713411093;64.272,43;1221244378563;31.391,61;12041836861739
2015-03-09;31.393,99;7681306121190;36.721,47;7075716044647;35.402,89;9960460898972;34.747,66;368604983183;64.363,71;1222958186782;31.427,86;12056718639793
2015-03-10;31.390,11;7681035992785;36.709,17;7074019152637;35.379,98;9956046058588;34.742,35;369063417193;64.352,47;1223003702280;31.417,13;12053519131414
2015-03-11;31.365,35;7676655298161;36.666,34;7065804673584;35.339,53;9949803663166;34.712,09;369565971650;64.269,43;1221927205950;31.389,32;12045247047486
2015-03-12;31.445,33;7699737357908;36.759,82;7091820933139;35.426,93;9978218365864;34.791,13;372679611486;64.376,23;1225303441125;31.476,85;12087432476463
2015-03-13;31.467,16;7709536343680;36.789,44;7098661648114;35.449,92;9996534049377;34.823,81;373086599028;64.443,63;1227806956398;31.492,28;12100405135813
2015-03-14;31.467,16;7709536343680;36.789,44;7098661648114;35.449,92;9996534049377;34.823,81;373086599028;64.443,63;1227806956398;31.492,28;12100405135813
2015-03-15;31.467,16;7709536343680;36.789,44;7098661648114;35.449,92;9996534049377;34.823,81;373086599028;64.443,63;1227806956398;31.492,28;12100405135813
2015-03-16;31.529,56;7728097939157;36.859,22;7121818242834;35.510,71;10025518154683;34.879,16;375533617533;64.535,52;1227041717618;31.545,18;12128221536139
2015-03-17;31.587,53;7745487753191;36.926,95;7138952542584;35.568,06;10046544851841;34.942,14;377314437827;64.651,16;1230408893077;31.591,17;12153153815206
2015-03-18;31.622,29;7754196078741;36.968,29;7148124656471;35.613,23;10063636076879;34.984,76;377828685811;64.733,38;1232099657590;31.634,83;12170501360323
2015-03-19;31.720,84;7778522934362;37.075,21;7170735758718;35.719,38;10091913528776;35.142,06;379132010724;64.920,75;1239766380754;31.732,47;12206764784599
2015-03-20;31.676,38;7768563244947;37.027,48;7166017022715;35.665,60;10081921838890;35.082,36;378496696163;64.836,54;1238467868830;31.684,26;12189019564716
2015-03-21;31.676,38;7768563244947;37.027,48;7166017022715;35.665,60;10081921838890;35.082,36;378496696163;64.836,54;1238467868830;31.684,26;12189019564716
2015-03-22;31.676,38;7768563244947;37.027,48;7166017022715;35.665,60;10081921838890;35.082,36;378496696163;64.836,54;1238467868830;31.684,26;12189019564716
2015-03-23;31.703,07;7775202913749;37.062,95;7175541730228;35.697,02;10089608223765;35.122,72;378774449833;64.912,81;1239897666183;31.709,24;12198477118474
2015-03-24;31.544,69;7734440280243;36.863,71;7144959454261;35.510,28;10047177455620;34.946,99;376566542932;64.608,80;1233482844915;31.563,21;12144937541969
2015-03-25;31.486,39;7719295390643;36.800,32;7139582807048;35.451,22;10034936708954;34.884,50;375317813208;64.511,37;1230437021821;31.514,04;12126874029811
2015-03-26;31.369,73;7689345008102;36.665,40;7118782989224;35.330,01;10000621082418;34.746,91;373381269806;64.289,35;1225904330329;31.393,76;12080004694496
2015-03-27;31.301,75;7672044452142;36.592,04;7109680673760;35.255,37;9985570052073;34.666,03;372361660647;64.158,87;1223240242014;31.328,70;12055760648342
2015-03-28;31.301,75;7672044452142;36.592,04;7109680673760;35.255,37;9985570052073;34.666,03;372361660647;64.158,87;1223240242014;31.328,70;12055760648342
2015-03-29;31.301,75;7672044452142;36.592,04;7109680673760;35.255,37;9985570052073;34.666,03;372361660647;64.158,87;1223240242014;31.328,70;12055760648342
2015-03-30;31.370,69;7688509448611;36.681,15;7128856943250;35.338,61;10006661296260;34.760,50;372923725547;64.302,44;1226024735036;31.394,43;12082706089817
2015-03-31;31.554,62;7716658092063;36.904,35;7165285203627;35.544,04;10052038375380;34.965,10;375201634657;64.635,48;1229569960247;31.578,68;12128945974997
2015-04-01;31.532,27;7699767997157;36.887,39;7180181340064;35.521,81;10050340336285;34.953,73;376347029070;64.590,18;1225643534483;31.562,43;12126161757390
2015-04-02;31.411,73;7670386068604;36.750,42;7151731785314;35.384,31;10013139599045;34.804,19;375215431942;64.364,23;1221372380562;31.446,06;12081541727333
2015-04-03;31.411,73;7670386068604;36.750,42;7151731785314;35.384,31;10013139599045;34.804,19;375215431942;64.364,23;1221372380562;31.446,06;12081541727333
2015-04-04;31.411,73;7670386068604;36.750,42;7151731785314;35.384,31;10013139599045;34.804,19;375215431942;64.364,23;1221372380562;31.446,06;12081541727333
2015-04-05;31.411,73;7670386068604;36.750,42;7151731785314;35.384,31;10013139599045;34.804,19;375215431942;64.364,23;1221372380562;31.446,06;12081541727333
2015-04-06;31.440,23;7676714250553;36.788,59;7159523071771;35.415,62;10022044975342;34.838,85;375567162161;64.427,46;1228293154049;31.470,72;12090744126672
2015-04-07;31.429,74;7673977349406;36.778,72;7160321770510;35.396,14;10015374547486;34.832,84;375441307744;64.418,27;1228176146472;31.463,13;12088478485036
2015-04-08;31.462,12;7682479467629;36.827,27;7169672524343;35.440,82;10029820792015;34.865,75;375877251360;64.485,65;1229689926967;31.501,66;12104012363550
2015-04-09;31.593,99;7716021124447;36.975,28;7199351302458;35.601,18;10076487941311;35.006,69;377548580858;64.755,66;1234578915583;31.629,74;12152906850043
2015-04-10;31.728,93;7749563756036;37.137,41;7235644558030;35.759,08;10119916431753;35.143,10;379492761560;64.999,29;1239518515130;31.776,18;12209196677045
2015-04-11;31.728,93;7749563756036;37.137,41;7235644558030;35.759,08;10119916431753;35.143,10;379492761560;64.999,29;1239518515130;31.776,18;12209196677045
2015-04-12;31.728,93;7749563756036;37.137,41;7235644558030;35.759,08;10119916431753;35.143,10;379492761560;64.999,29;1239518515130;31.776,18;12209196677045
2015-04-13;31.911,06;7795527457634;37.354,24;7279265390610;35.975,67;10184696197285;35.376,21;382878904091;65.374,03;1247123838421;31.956,95;12281902703092
2015-04-14;32.000,50;7820497141449;37.454,03;7311145140300;36.069,83;10222126494767;35.459,27;386943158787;65.518,16;1250351698388;32.040,97;12328214238110
2015-04-15;31.793,36;7780087176212;37.217,74;7291748033865;35.842,53;10189078789659;35.223,79;388293602939;65.141,28;1242402977829;31.842,87;12261934877542
2015-04-16;31.879,04;7800358692599;37.324,98;7316849137282;35.941,10;10215620125546;35.325,33;389220859852;65.293,94;1245317455779;31.930,77;12299206893593
2015-04-17;31.819,87;7785420597920;37.236,82;7302025208166;35.879,59;10202410530212;35.260,94;388376720542;65.196,16;1248345997841;31.860,83;12271269488710
2015-04-18;31.819,87;7785420597920;37.236,82;7302025208166;35.879,59;10202410530212;35.260,94;388376720542;65.196,16;1248345997841;31.860,83;12271269488710
2015-04-19;31.819,87;7785420597920;37.236,82;7302025208166;35.879,59;10202410530212;35.260,94;388376720542;65.196,16;1248345997841;31.860,83;12271269488710
2015-04-20;31.702,95;7757931959022;37.097,77;7279254693216;35.763,94;10172831512741;35.134,33;386400452914;64.979,87;1243821696357;31.742,65;12226588274365
2015-04-21;31.738,83;7765233205929;37.137,24;7291680293214;35.798,28;10184723135361;35.177,43;386995816622;65.028,67;1244650086897;31.766,30;12236366400989
2015-04-22;31.818,75;7784787878877;37.229,68;7312639058727;35.893,20;10212954396732;35.262,24;387944459323;65.187,33;1247658579650;31.849,37;12269233573071
2015-04-23;31.898,75;7804114344164;37.316,56;7331633781456;35.975,95;10237244729606;35.341,09;387995289268;65.332,28;1250481053236;31.947,80;12307086168437
2015-04-24;31.914,03;7806693222308;37.341,82;7339146102388;35.984,63;10245701563524;35.345,87;388002812419;65.354,84;1251366935295;31.952,01;12309039004483
2015-04-25;31.914,03;7806693222308;37.341,82;7339146102388;35.984,63;10245701563524;35.345,87;388002812419;65.354,84;1251366935295;31.952,01;12309039004483
2015-04-26;31.914,03;7806693222308;37.341,82;7339146102388;35.984,63;10245701563524;35.345,87;388002812419;65.354,84;1251366935295;31.952,01;12309039004483
2015-04-27;31.901,97;7804759797200;37.313,94;7334485716765;35.971,37;10239863129009;35.322,41;387401992442;65.331,14;1251042259814;31.940,54;12305098854905
2015-04-28;31.916,59;7809831577785;37.328,20;7338432504152;35.978,85;10243744243774;35.325,80;387690079009;65.346,36;1251323435019;31.949,14;12306842222461
2015-04-29;31.822,87;7787518444801;37.216,58;7320282994589;35.875,27;10218176759067;35.229,49;386858458430;65.192,70;1248879870058;31.855,54;12271213235042
2015-04-30;31.726,22;7749636183282;37.100,57;7290243259478;35.777,00;10175649499724;35.145,56;385730155967;65.025,45;1242972469102;31.754,69;12212126223494
2015-05-01;31.726,22;7749636183282;37.100,57;7290243259478;35.777,00;10175649499724;35.145,56;385730155967;65.025,45;1242972469102;31.754,69;12212126223494
2015-05-02;31.726,22;7749636183282;37.100,57;7290243259478;35.777,00;10175649499724;35.145,56;385730155967;65.025,45;1242972469102;31.754,69;12212126223494
2015-05-03;31.726,22;7749636183282;37.100,57;7290243259478;35.777,00;10175649499724;35.145,56;385730155967;65.025,45;1242972469102;31.754,69;12212126223494
2015-05-04;31.739,79;7748654726880;37.119,74;7314702127688;35.795,61;10189012740840;35.151,86;387860913116;65.043,36;1239397514105;31.771,91;12220698171458
2015-05-05;31.835,81;7770889158139;37.239,39;7341479950934;35.899,10;10222979868478;35.269,34;389191099523;65.221,09;1242512592185;31.858,07;12255416481689
2015-05-06;31.712,61;7741304122099;37.081,88;7313639609847;35.757,55;10183941077424;35.153,70;387971817124;65.017,63;1243377411237;31.739,47;12210081774301
2015-05-07;31.600,19;7714139469482;36.957,57;7290025297689;35.621,67;10145184049802;35.038,62;386811187139;64.811,22;1239315347131;31.605,18;12158896575976
2015-05-08;31.566,48;7707399832340;36.919,02;7283686499119;35.587,38;10139351445418;35.008,69;386489949337;64.736,39;1238106464180;31.589,26;12153277065835
2015-05-09;31.566,48;7707399832340;36.919,02;7283686499119;35.587,38;10139351445418;35.008,69;386489949337;64.736,39;1238106464180;31.589,26;12153277065835
2015-05-10;31.566,48;7707399832340;36.919,02;7283686499119;35.587,38;10139351445418;35.008,69;386489949337;64.736,39;1238106464180;31.589,26;12153277065835
2015-05-11;31.599,93;7715434376050;36.984,24;7294013267931;35.623,30;10149042521821;35.066,71;387336676000;64.848,67;1240270991452;31.637,09;12172788847497
2015-05-12;31.639,48;7727259981504;37.035,35;7304867978809;35.687,28;10164354066625;35.114,89;388622497033;64.938,52;1242532010983;31.678,78;12190951645218
2015-05-13;31.550,66;7707607368814;36.926,24;7292340683672;35.576,65;10141103862362;35.044,04;390429309049;64.743,04;1240529306051;31.549,57;12151466868614
2015-05-14;31.433,09;7688706687853;36.785,93;7272652983777;35.443,44;10118334702611;34.915,54;389855499933;64.539,16;1237791543645;31.431,42;12117878389298
2015-05-15;31.363,69;7677488014413;36.720,28;7282890096488;35.362,10;10110041113938;34.839,10;393859444636;64.449,99;1234187741867;31.403,45;12111183060805
2015-05-16;31.363,69;7677488014413;36.720,28;7282890096488;35.362,10;10110041113938;34.839,10;393859444636;64.449,99;1234187741867;31.403,45;12111183060805
2015-05-17;31.363,69;7677488014413;36.720,28;7282890096488;35.362,10;10110041113938;34.839,10;393859444636;64.449,99;1234187741867;31.403,45;12111183060805
2015-05-18;31.422,51;7691589071036;36.784,34;7298971639037;35.425,29;10129901119267;34.909,72;394809173262;64.581,24;1236626104373;31.461,30;12132875905389
2015-05-19;31.487,02;7706290258577;36.876,46;7310453836089;35.505,09;10144747895482;34.974,91;394520492072;64.705,94;1238825973206;31.518,84;12152713029943
2015-05-20;31.584,29;7729402692881;36.995,37;7331786600642;35.630,59;10170138750832;35.072,65;396005613125;64.889,10;1247269777845;31.625,27;12193644510445
2015-05-21;31.584,29;7729402692881;36.995,37;7331786600642;35.630,59;10170138750832;35.072,65;396005613125;64.889,10;1247269777845;31.625,27;12193644510445
2015-05-22;31.606,29;7734315298985;37.016,21;7333034616459;35.653,69;10175205861750;35.112,66;396057605946;64.929,22;1247808595620;31.654,56;12203343900982
2015-05-23;31.606,29;7734315298985;37.016,21;7333034616459;35.653,69;10175205861750;35.112,66;396057605946;64.929,22;1247808595620;31.654,56;12203343900982
2015-05-24;31.606,29;7734315298985;37.016,21;7333034616459;35.653,69;10175205861750;35.112,66;396057605946;64.929,22;1247808595620;31.654,56;12203343900982
2015-05-25;31.677,96;7752390223588;37.106,49;7350960476096;35.744,51;10199389486739;35.188,58;396541059993;65.069,16;1250504818368;31.729,81;12233720011206
2015-05-26;31.729,23;7764933558297;37.161,55;7365366026251;35.818,90;10220152499144;35.248,50;398391011945;65.171,84;1252419925173;31.778,59;12251999742405
2015-05-27;31.716,31;7762672643765;37.145,56;7362989145733;35.809,73;10221722337598;35.244,16;398442747927;65.138,86;1251649624967;31.761,54;12244084977016
2015-05-28;31.806,51;7784207930130;37.247,27;7387252086980;35.902,23;10243568871704;35.343,90;399317959746;65.296,38;1253891803535;31.848,89;12278941937054
2015-05-29;31.793,13;7764775157942;37.217,89;7373300224563;35.877,95;10226909905668;35.330,58;399311234340;65.252,57;1250353218355;31.825,12;12247633719047
2015-05-30;31.793,13;7764775157942;37.217,89;7373300224563;35.877,95;10226909905668;35.330,58;399311234340;65.252,57;1250353218355;31.825,12;12247633719047
2015-05-31;31.793,13;7764775157942;37.217,89;7373300224563;35.877,95;10226909905668;35.330,58;399311234340;65.252,57;1250353218355;31.825,12;12247633719047
2015-06-01;31.765,68;7752648161122;37.200,05;7391144575849;35.871,35;10227255820469;35.308,97;402525749030;65.221,68;1245876322849;31.800,10;12243456093666
2015-06-02;31.856,38;7774419812293;37.301,36;7411749002240;35.968,98;10256491267535;35.406,98;403801463968;65.374,33;1248861430879;31.884,76;12276334664203
2015-06-03;31.818,82;7765521504089;37.241,02;7403423239729;35.911,38;10241783874204;35.368,33;403264667973;65.285,91;1247039567127;31.825,47;12254630613147
2015-06-04;31.904,73;7786566817408;37.337,58;7425545832916;35.996,61;10265273176724;35.457,86;404640273582;65.418,14;1253322474690;31.896,09;12280483640236
2015-06-05;31.868,74;7777304542173;37.288,89;7419693167683;35.953,09;10255126330336;35.420,46;403989979854;65.323,19;1251406646937;31.852,99;12264797582825
2015-06-06;31.868,74;7777304542173;37.288,89;7419693167683;35.953,09;10255126330336;35.420,46;403989979854;65.323,19;1251406646937;31.852,99;12264797582825
2015-06-07;31.868,74;7777304542173;37.288,89;7419693167683;35.953,09;10255126330336;35.420,46;403989979854;65.323,19;1251406646937;31.852,99;12264797582825
2015-06-08;31.979,00;7805742723243;37.413,14;7445975452856;36.078,70;10290558889537;35.529,30;405343631628;65.489,64;1254688521682;31.950,21;12302183895212
2015-06-09;31.891,15;7784341715051;37.305,00;7422708984962;35.974,60;10265703078064;35.426,59;404482538660;65.308,61;1251333507283;31.850,14;12263949154074
2015-06-10;31.639,47;7724160365544;37.021,67;7368427547321;35.702,56;10190986082525;35.156,02;401930668280;64.838,75;1242682403213;31.598,69;12169068116888
2015-06-11;31.671,07;7733414182404;37.062,21;7374565507181;35.759,28;10208943486417;35.228,44;403343985553;64.951,12;1245294896790;31.602,51;12173109867547
2015-06-12;31.851,81;7781100055642;37.262,00;7421261163461;35.922,18;10259260634975;35.440,18;408100387763;65.267,86;1252106504278;31.774,36;12246013545449
2015-06-13;31.851,81;7781100055642;37.262,00;7421261163461;35.922,18;10259260634975;35.440,18;408100387763;65.267,86;1252106504278;31.774,36;12246013545449
2015-06-14;31.851,81;7781100055642;37.262,00;7421261163461;35.922,18;10259260634975;35.440,18;408100387763;65.267,86;1252106504278;31.774,36;12246013545449
2015-06-15;31.818,94;7780720425874;37.211,88;7429091019889;35.888,15;10271658856373;35.366,21;412085954570;65.193,11;1248675535233;31.742,05;12239092258935
2015-06-16;31.770,26;7774008902913;37.157,50;7423128567664;35.847,83;10262994979097;35.326,38;412740443279;65.106,61;1248269809662;31.704,58;12232643204016
2015-06-17;31.748,47;7770090040656;37.132,84;7419040382215;35.824,21;10261157048651;35.304,76;412722915917;65.071,67;1252047809946;31.678,08;12223856427737
2015-06-18;31.849,08;7793275373331;37.249,65;7443901403411;35.932,03;10291485345383;35.424,71;413989178377;65.238,09;1255498251848;31.775,78;12261845848096
2015-06-19;31.725,13;7763494702304;37.101,54;7413492741521;35.788,67;10250994641803;35.303,14;412147553462;65.041,73;1251781669180;31.652,50;12214062720866
2015-06-20;31.725,13;7763494702304;37.101,54;7413492741521;35.788,67;10250994641803;35.303,14;412147553462;65.041,73;1251781669180;31.652,50;12214062720866
2015-06-21;31.725,13;7763494702304;37.101,54;7413492741521;35.788,67;10250994641803;35.303,14;412147553462;65.041,73;1251781669180;31.652,50;12214062720866
