
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-03-09;27.013,23;3643984645470;28.554,67;2733763911686;28.548,67;3891612282209;27.129,25;139647966770;26.554,65;619529898133;26.914,33;5381238671713
2015-03-10;27.018,75;3644520792367;28.554,72;2733478143928;28.540,14;3889770643999;27.139,02;139810926875;26.563,76;619715445020;26.915,34;5379778335904
2015-03-11;27.007,63;3642986325272;28.536,49;2728710636718;28.518,44;3874598172683;27.131,37;140018728045;26.549,08;619441516978;26.907,80;5375728795071
2015-03-12;27.057,91;3650524703218;28.595,15;2735591935708;28.566,86;3882484342995;27.177,80;140639275830;26.585,09;620258907485;26.960,84;5386352955551
2015-03-13;27.076,07;3646348390697;28.612,94;2737386695324;28.590,38;3888275846578;27.193,72;140881300561;26.604,21;621280236814;26.972,55;5386595835683
2015-03-14;27.076,07;3646348390697;28.612,94;2737386695324;28.590,38;3888275846578;27.193,72;140881300561;26.604,21;621280236814;26.972,55;5386595835683
2015-03-15;27.076,07;3646348390697;28.612,94;2737386695324;28.590,38;3888275846578;27.193,72;140881300561;26.604,21;621280236814;26.972,55;5386595835683
2015-03-16;27.130,16;3653464250755;28.671,31;2742947495102;28.634,86;3896158399223;27.231,23;141409194667;26.644,55;619540966156;27.016,07;5396078522144
2015-03-17;27.159,04;3657398596191;28.698,29;2746402054186;28.655,29;3898803214288;27.263,17;141075041314;26.674,83;620362031509;27.031,92;5394040802470
2015-03-18;27.171,72;3659258639732;28.717,18;2749111097232;28.678,60;3902215308013;27.272,51;141053725170;26.692,54;621139005884;27.047,44;5395424727119
2015-03-19;27.213,39;3664827532465;28.743,33;2750919449129;28.708,31;3906080562623;27.346,34;141452622682;26.728,72;622639770468;27.079,49;5402934467531
2015-03-20;27.184,14;3658290612872;28.716,81;2748818352992;28.674,69;3902937871738;27.314,93;141273163173;26.699,64;622175189606;27.054,13;5397205521665
2015-03-21;27.184,14;3658290612872;28.716,81;2748818352992;28.674,69;3902937871738;27.314,93;141273163173;26.699,64;622175189606;27.054,13;5397205521665
2015-03-22;27.184,14;3658290612872;28.716,81;2748818352992;28.674,69;3902937871738;27.314,93;141273163173;26.699,64;622175189606;27.054,13;5397205521665
2015-03-23;27.199,09;3657691257194;28.734,51;2749709184670;28.695,40;3905438111539;27.339,14;141455221656;26.723,54;622791857837;27.075,61;5403266994005
2015-03-24;27.107,58;3642665238213;28.627,77;2739764277689;28.599,89;3890736861003;27.248,90;140928767480;26.628,96;620499964867;26.993,97;5386275674407
2015-03-25;27.077,58;3634705243018;28.598,28;2734985600515;28.568,99;3885858968650;27.219,84;140479231891;26.604,12;619736633285;26.970,53;5380730928415
2015-03-26;27.019,05;3625494085879;28.533,36;2727249309846;28.518,72;3879716054918;27.154,42;140098873419;26.547,24;618393624102;26.915,28;5369777194546
2015-03-27;26.978,68;3619820482541;28.497,98;2724281800355;28.476,06;3874551201478;27.116,64;139909883768;26.512,41;617881842948;26.881,20;5362632428078
2015-03-28;26.978,68;3619820482541;28.497,98;2724281800355;28.476,06;3874551201478;27.116,64;139909883768;26.512,41;617881842948;26.881,20;5362632428078
2015-03-29;26.978,68;3619820482541;28.497,98;2724281800355;28.476,06;3874551201478;27.116,64;139909883768;26.512,41;617881842948;26.881,20;5362632428078
2015-03-30;27.012,25;3623935818795;28.537,01;2728162451076;28.509,73;3877549488164;27.159,25;140145700537;26.546,68;618727048218;26.914,63;5371488773769
2015-03-31;27.103,68;3661052410326;28.641,08;2751497370591;28.598,81;3920540480519;27.261,34;141052972918;26.624,33;624878346257;27.002,31;5435832797701
2015-04-01;27.083,53;3658504022538;28.622,65;2750054448508;28.578,90;3916537160989;27.252,50;141235104524;26.603,47;623059772702;26.992,59;5429363180063
2015-04-02;27.022,81;3651232541919;28.553,59;2740782301901;28.510,11;3907254339927;27.175,28;140702410695;26.543,82;622197638461;26.932,86;5416299956018
2015-04-03;27.022,81;3651232541919;28.553,59;2740782301901;28.510,11;3907254339927;27.175,28;140702410695;26.543,82;622197638461;26.932,86;5416299956018
2015-04-04;27.022,81;3651232541919;28.553,59;2740782301901;28.510,11;3907254339927;27.175,28;140702410695;26.543,82;622197638461;26.932,86;5416299956018
2015-04-05;27.022,81;3651232541919;28.553,59;2740782301901;28.510,11;3907254339927;27.175,28;140702410695;26.543,82;622197638461;26.932,86;5416299956018
2015-04-06;27.032,51;3651076896289;28.562,68;2740213248338;28.521,99;3908006276485;27.192,07;140746760286;26.557,23;623225884117;26.945,18;5415490478838
2015-04-07;27.025,93;3648444512593;28.553,17;2739123003142;28.507,44;3903895520415;27.185,21;140374814988;26.547,24;623025825392;26.933,58;5414557413731
2015-04-08;27.045,04;3651123084891;28.590,43;2741437597180;28.537,83;3908607803329;27.211,92;140521993330;26.571,38;623780249603;26.962,57;5419777300822
2015-04-09;27.082,41;3654196657918;28.625,05;2743264004061;28.578,64;3914234199186;27.237,46;140690639699;26.604,57;624090454135;26.987,87;5423774151744
2015-04-10;27.137,67;3661045050609;28.685,85;2749009260500;28.635,98;3913043026953;27.282,17;141064213979;26.651,26;625346987215;27.047,77;5429356584842
2015-04-11;27.137,67;3661045050609;28.685,85;2749009260500;28.635,98;3913043026953;27.282,17;141064213979;26.651,26;625346987215;27.047,77;5429356584842
2015-04-12;27.137,67;3661045050609;28.685,85;2749009260500;28.635,98;3913043026953;27.282,17;141064213979;26.651,26;625346987215;27.047,77;5429356584842
2015-04-13;27.235,24;3674562371463;28.793,21;2755205192787;28.752,12;3927204846171;27.405,36;141915187443;26.751,88;627784376849;27.147,64;5450144095819
2015-04-14;27.269,44;3671321594451;28.833,56;2759637401284;28.779,76;3931198994747;27.419,91;142478277045;26.771,74;626100838631;27.176,73;5455087698114
2015-04-15;27.167,56;3658520501321;28.724,28;2749204606404;28.678,00;3921254663266;27.325,11;142948766987;26.683,93;623995650935;27.078,88;5435708749055
2015-04-16;27.205,69;3664102223696;28.773,09;2750982988206;28.726,03;3926319970441;27.371,59;143222894914;26.719,68;624863175759;27.123,43;5437752456995
2015-04-17;27.155,73;3656629788459;28.711,04;2744914136347;28.674,98;3919343169865;27.325,85;142367685385;26.676,55;624106198040;27.069,23;5426268455152
2015-04-18;27.155,73;3656629788459;28.711,04;2744914136347;28.674,98;3919343169865;27.325,85;142367685385;26.676,55;624106198040;27.069,23;5426268455152
2015-04-19;27.155,73;3656629788459;28.711,04;2744914136347;28.674,98;3919343169865;27.325,85;142367685385;26.676,55;624106198040;27.069,23;5426268455152
2015-04-20;27.085,57;3647437483569;28.645,18;2738909751613;28.616,38;3910968864287;27.256,76;141978934076;26.616,28;622510405218;27.001,24;5412028994193
2015-04-21;27.112,77;3650866217654;28.676,20;2743820946310;28.637,92;3914089201873;27.291,69;142128148446;26.633,34;622969974496;27.008,03;5412734765464
2015-04-22;27.145,87;3659345688931;28.715,83;2746203855449;28.680,42;3921261106883;27.327,16;142279173426;26.667,23;623821572918;27.046,29;5421735780028
2015-04-23;27.188,63;3673702370216;28.757,47;2750404216511;28.723,06;3927441058093;27.369,97;142510339454;26.704,74;624691303669;27.104,35;5432539227055
2015-04-24;27.197,17;3685474205962;28.769,05;2753167988147;28.727,46;3928040770387;27.376,44;142495132062;26.711,68;625086249651;27.108,19;5432176166987
2015-04-25;27.197,17;3685474205962;28.769,05;2753167988147;28.727,46;3928040770387;27.376,44;142495132062;26.711,68;625086249651;27.108,19;5432176166987
2015-04-26;27.197,17;3685474205962;28.769,05;2753167988147;28.727,46;3928040770387;27.376,44;142495132062;26.711,68;625086249651;27.108,19;5432176166987
2015-04-27;27.187,42;3686241008732;28.752,97;2748491905155;28.714,39;3926940570521;27.362,61;142408154513;26.703,25;624803207943;27.105,94;5433988044198
2015-04-28;27.186,13;3686882691287;28.745,49;2746520955112;28.702,03;3925799300719;27.352,73;142491638303;26.694,82;624536446664;27.095,79;5431497431609
2015-04-29;27.146,12;3680253566273;28.697,51;2742819845565;28.662,58;3920408618109;27.316,57;142290629370;26.660,37;624133421767;27.052,70;5423132948158
2015-04-30;27.111,89;3699122097492;28.652,10;2752495315973;28.636,82;3943258738386;27.297,61;142512522500;26.635,71;627635798505;27.018,91;5461131294254
2015-05-01;27.111,89;3699122097492;28.652,10;2752495315973;28.636,82;3943258738386;27.297,61;142512522500;26.635,71;627635798505;27.018,91;5461131294254
2015-05-02;27.111,89;3699122097492;28.652,10;2752495315973;28.636,82;3943258738386;27.297,61;142512522500;26.635,71;627635798505;27.018,91;5461131294254
2015-05-03;27.111,89;3699122097492;28.652,10;2752495315973;28.636,82;3943258738386;27.297,61;142512522500;26.635,71;627635798505;27.018,91;5461131294254
2015-05-04;27.126,88;3698381407934;28.669,38;2754676582059;28.656,83;3943819351657;27.308,23;142820726909;26.647,73;627478520709;27.039,35;5462126923956
