
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-05-12;30.608,33;3671080542272;31.969,80;3472530843557;31.761,43;4864906204687;30.473,00;809130991059;31.213,85;448603109132;30.556,35;4596749931024
2015-05-13;30.518,83;3664358224401;31.872,01;3466900635383;31.656,70;4854393105448;30.391,68;814377369615;31.113,92;448387731237;30.444,68;4586493167098
2015-05-14;30.362,62;3652601594969;31.706,33;3450727273669;31.499,57;4840877143479;30.239,05;813786436124;30.976,28;447654281001;30.293,74;4571768034603
2015-05-15;30.321,65;3645259209516;31.676,78;3453330471927;31.465,11;4838304597506;30.199,22;816066950566;30.956,96;445168118816;30.284,61;4571674479889
2015-05-16;30.321,65;3645259209516;31.676,78;3453330471927;31.465,11;4838304597506;30.199,22;816066950566;30.956,96;445168118816;30.284,61;4571674479889
2015-05-17;30.321,65;3645259209516;31.676,78;3453330471927;31.465,11;4838304597506;30.199,22;816066950566;30.956,96;445168118816;30.284,61;4571674479889
2015-05-18;30.387,76;3652629573012;31.746,58;3461706321207;31.532,99;4849522757120;30.269,95;818114512810;31.027,12;446247220820;30.351,18;4581558068705
2015-05-19;30.469,66;3648610192430;31.848,20;3435430846258;31.617,50;4824954980942;30.347,86;819282216120;31.105,40;446776410035;30.428,74;4585730542121
2015-05-20;30.594,81;3659298287994;31.990,08;3434138576874;31.763,55;4821045434111;30.472,18;822279120775;31.224,79;452022224280;30.563,00;4601006225551
2015-05-21;30.594,81;3659298287994;31.990,08;3434138576874;31.763,55;4821045434111;30.472,18;822279120775;31.224,79;452022224280;30.563,00;4601006225551
2015-05-22;30.629,65;3660530695413;32.022,28;3429204789827;31.801,96;4820779703548;30.514,64;823439730180;31.254,26;452217928819;30.602,43;4604825684666
2015-05-23;30.629,65;3660530695413;32.022,28;3429204789827;31.801,96;4820779703548;30.514,64;823439730180;31.254,26;452217928819;30.602,43;4604825684666
2015-05-24;30.629,65;3660530695413;32.022,28;3429204789827;31.801,96;4820779703548;30.514,64;823439730180;31.254,26;452217928819;30.602,43;4604825684666
2015-05-25;30.726,22;3670514622138;32.122,39;3435555733167;31.903,33;4832059079476;30.605,85;825866845128;31.346,60;453887642694;30.696,64;4618021807339
2015-05-26;30.794,02;3679256851199;32.189,03;3439673259593;31.980,18;4843000050167;30.672,96;828815799505;31.408,77;454675390987;30.755,48;4626933695685
2015-05-27;30.762,92;3676968550375;32.150,96;3434747194254;31.944,01;4837901038257;30.644,42;828048670647;31.364,36;454153250949;30.711,81;4620547298720
2015-05-28;30.887,43;3691756859915;32.273,10;3447049085381;32.056,05;4854137456360;30.767,28;831578465440;31.472,47;456062886920;30.833,17;4639145491090
2015-05-29;30.849,14;3684304789287;32.220,54;3444945033628;32.009,12;4839504341713;30.723,73;830123904975;31.424,61;455256702704;30.779,76;4616326293414
2015-05-30;30.849,14;3684304789287;32.220,54;3444945033628;32.009,12;4839504341713;30.723,73;830123904975;31.424,61;455256702704;30.779,76;4616326293414
2015-05-31;30.849,14;3684304789287;32.220,54;3444945033628;32.009,12;4839504341713;30.723,73;830123904975;31.424,61;455256702704;30.779,76;4616326293414
2015-06-01;30.805,93;3670460247857;32.181,70;3442719294699;31.977,43;4831184934026;30.686,08;828355633341;31.395,76;452304650212;30.738,28;4610652134413
2015-06-02;30.926,10;3684914707565;32.302,77;3454557370244;32.094,66;4849303401524;30.810,40;832142581664;31.497,59;453904404586;30.853,83;4628537329853
2015-06-03;30.859,55;3677728225479;32.221,72;3446408637152;32.025,38;4838228435724;30.749,23;830682015184;31.435,37;453087738546;30.772,33;4616486364046
2015-06-04;30.969,99;3689886774005;32.338,58;3458190875408;32.130,73;4852689520526;30.863,27;833789436949;31.527,13;458111524408;30.872,38;4631480055139
2015-06-05;30.911,36;3682450296926;32.269,68;3451082804654;32.065,69;4842531884657;30.806,36;832496464724;31.458,94;457145380190;30.807,28;4622065308250
2015-06-06;30.911,36;3682450296926;32.269,68;3451082804654;32.065,69;4842531884657;30.806,36;832496464724;31.458,94;457145380190;30.807,28;4622065308250
2015-06-07;30.911,36;3682450296926;32.269,68;3451082804654;32.065,69;4842531884657;30.806,36;832496464724;31.458,94;457145380190;30.807,28;4622065308250
